a,b,c
derek,616,0
carole,617,1
derek,618,2
carole,619,3
derek,620,0
carole,621,1
derek,622,2
carole,623,3
derek,624,0
carole,625,1
derek,626,2
carole,627,3
derek,628,0
carole,629,1
derek,630,2
carole,631,3
derek,632,0
carole,633,1
derek,634,2
carole,635,3
derek,636,0
carole,637,1
derek,638,2
carole,639,3
derek,640,0
carole,641,1
derek,642,2
carole,643,3
derek,644,0
carole,645,1
derek,646,2
carole,647,3
derek,648,0
carole,649,1
derek,650,2
carole,651,3
derek,652,0
carole,653,1
derek,654,2
carole,655,3
derek,656,0
carole,657,1
derek,658,2
carole,659,3
derek,660,0
carole,661,1
derek,662,2
carole,663,3
derek,664,0
carole,665,1
derek,666,2
carole,667,3
derek,668,0
carole,669,1
derek,670,2
carole,671,3
derek,672,0
carole,673,1
derek,674,2
carole,675,3
derek,676,0
carole,677,1
derek,678,2
carole,679,3
derek,680,0
carole,681,1
derek,682,2
carole,683,3
derek,684,0
carole,685,1
derek,686,2
carole,687,3
derek,688,0
carole,689,1
derek,690,2
carole,691,3
derek,692,0
carole,693,1
derek,694,2
carole,695,3
derek,696,0
carole,697,1
derek,698,2
carole,699,3
derek,700,0
carole,701,1
derek,702,2
carole,703,3
derek,704,0
carole,705,1
derek,706,2
carole,707,3
derek,708,0
carole,709,1
derek,710,2
carole,711,3
derek,712,0
carole,713,1
derek,714,2
carole,715,3
derek,716,0
carole,717,1
derek,718,2
carole,719,3
derek,720,0
carole,721,1
derek,722,2
carole,723,3
derek,724,0
carole,725,1
derek,726,2
carole,727,3
derek,728,0
carole,729,1
derek,730,2
carole,731,3
derek,732,0
carole,733,1
derek,734,2
carole,735,3
derek,736,0
carole,737,1
derek,738,2
carole,739,3
derek,740,0
carole,741,1
derek,742,2
carole,743,3
derek,744,0
carole,745,1
derek,746,2
carole,747,3
derek,748,0
carole,749,1
derek,750,2
carole,751,3
derek,752,0
carole,753,1
derek,754,2
carole,755,3
derek,756,0
carole,757,1
derek,758,2
carole,759,3
derek,760,0
carole,761,1
derek,762,2
carole,763,3
derek,764,0
carole,765,1
derek,766,2
carole,767,3
derek,768,0
carole,769,1
derek,770,2
carole,771,3
derek,772,0
carole,773,1
derek,774,2
carole,775,3
derek,776,0
carole,777,1
derek,778,2
carole,779,3
derek,780,0
carole,781,1
derek,782,2
carole,783,3
derek,784,0
carole,785,1
derek,786,2
carole,787,3
derek,788,0
carole,789,1
derek,790,2
carole,791,3
derek,792,0
carole,793,1
derek,794,2
carole,795,3
derek,796,0
carole,797,1
derek,798,2
carole,799,3
derek,800,0
carole,801,1
derek,802,2
carole,803,3
derek,804,0
carole,805,1
derek,806,2
carole,807,3
derek,808,0
carole,809,1
derek,810,2
carole,811,3
derek,812,0
carole,813,1
derek,814,2
carole,815,3
derek,816,0
carole,817,1
derek,818,2
carole,819,3
derek,820,0
carole,821,1
derek,822,2
carole,823,3
derek,824,0
carole,825,1
derek,826,2
carole,827,3
derek,828,0
carole,829,1
derek,830,2
carole,831,3
derek,832,0
carole,833,1
derek,834,2
carole,835,3
derek,836,0
carole,837,1
derek,838,2
carole,839,3
derek,840,0
carole,841,1
derek,842,2
carole,843,3
derek,844,0
carole,845,1
derek,846,2
carole,847,3
derek,848,0
carole,849,1
derek,850,2
carole,851,3
derek,852,0
carole,853,1
derek,854,2
carole,855,3
derek,856,0
carole,857,1
derek,858,2
carole,859,3
derek,860,0
carole,861,1
derek,862,2
carole,863,3
derek,864,0
carole,865,1
derek,866,2
carole,867,3
derek,868,0
carole,869,1
derek,870,2
carole,871,3
derek,872,0
carole,873,1
derek,874,2
carole,875,3
derek,876,0
carole,877,1
derek,878,2
carole,879,3
derek,880,0
carole,881,1
derek,882,2
carole,883,3
derek,884,0
carole,885,1
derek,886,2
carole,887,3
derek,888,0
carole,889,1
derek,890,2
carole,891,3
derek,892,0
carole,893,1
derek,894,2
carole,895,3
derek,896,0
carole,897,1
derek,898,2
carole,899,3
derek,900,0
carole,901,1
derek,902,2
carole,903,3
derek,904,0
carole,905,1
derek,906,2
carole,907,3
derek,908,0
carole,909,1
derek,910,2
carole,911,3
derek,912,0
carole,913,1
derek,914,2
carole,915,3
derek,916,0
carole,917,1
derek,918,2
carole,919,3
derek,920,0
carole,921,1
derek,922,2
carole,923,3
derek,924,0
carole,925,1
derek,926,2
carole,927,3
derek,928,0
carole,929,1
derek,930,2
carole,931,3
derek,932,0
carole,933,1
derek,934,2
carole,935,3
derek,936,0
carole,937,1
derek,938,2
carole,939,3
derek,940,0
carole,941,1
derek,942,2
carole,943,3
derek,944,0
carole,945,1
derek,946,2
carole,947,3
derek,948,0
carole,949,1
derek,950,2
carole,951,3
derek,952,0
carole,953,1
derek,954,2
carole,955,3
derek,956,0
carole,957,1
derek,958,2
carole,959,3
derek,960,0
carole,961,1
derek,962,2
carole,963,3
derek,964,0
carole,965,1
derek,966,2
carole,967,3
derek,968,0
carole,969,1
derek,970,2
carole,971,3
derek,972,0
carole,973,1
derek,974,2
carole,975,3
derek,976,0
carole,977,1
derek,978,2
carole,979,3
derek,980,0
carole,981,1
derek,982,2
carole,983,3
derek,984,0
carole,985,1
derek,986,2
carole,987,3
derek,988,0
carole,989,1
derek,990,2
carole,991,3
derek,992,0
carole,993,1
derek,994,2
carole,995,3
derek,996,0
carole,997,1
derek,998,2
carole,999,3
